timestamp_ms,block_number,last_variant,tx_count,warm_hits,cold_misses,warm_set_size,warm_hit_rate,scheduler_overhead_us,block_duration_ms,gc_young_delta_count,gc_old_delta_count,gc_young_delta_ms,gc_old_delta_ms,gc_total_delta_ms,gc_pause_ratio
1778562790461,1,ADDRESS_LOCALITY,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778562791775,2,ADDRESS_LOCALITY,1,0,0,1,0.0000,350,23,0,0,0,0,0,0.0000
1778562792127,3,ADDRESS_LOCALITY,1,0,0,1,0.0000,27,6,0,0,0,0,0,0.0000
1778562792144,4,ADDRESS_LOCALITY,2,0,0,1,0.0000,39,5,0,0,0,0,0,0.0000
1778562792273,5,ADDRESS_LOCALITY,2,0,0,1,0.0000,25,4,0,0,0,0,0,0.0000
1778562793084,6,ADDRESS_LOCALITY,4,0,0,1,0.0000,58,7,0,0,0,0,0,0.0000
1778562793133,7,ADDRESS_LOCALITY,1,0,0,1,0.0000,64,4,0,0,0,0,0,0.0000
1778562793537,8,ADDRESS_LOCALITY,2,0,0,1,0.0000,63,4,0,0,0,0,0,0.0000
1778562793756,9,ADDRESS_LOCALITY,3,0,0,1,0.0000,62,4,0,0,0,0,0,0.0000
1778562793893,10,ADDRESS_LOCALITY,1,0,0,1,0.0000,69,4,0,0,0,0,0,0.0000
1778562794004,11,ADDRESS_LOCALITY,3,0,0,1,0.0000,66,4,0,0,0,0,0,0.0000
1778562794715,12,ADDRESS_LOCALITY,2,0,0,1,0.0000,61,4,0,0,0,0,0,0.0000
1778562794846,13,ADDRESS_LOCALITY,2,0,0,1,0.0000,68,4,0,0,0,0,0,0.0000
1778562794910,14,ADDRESS_LOCALITY,3,0,0,1,0.0000,62,6,0,0,0,0,0,0.0000
1778562795030,15,ADDRESS_LOCALITY,2,0,0,1,0.0000,88,4,0,0,0,0,0,0.0000
1778562795150,16,ADDRESS_LOCALITY,1,0,0,1,0.0000,68,3,0,0,0,0,0,0.0000
1778562795272,17,ADDRESS_LOCALITY,2,0,0,1,0.0000,63,3,0,0,0,0,0,0.0000
1778562795348,18,ADDRESS_LOCALITY,1,0,0,1,0.0000,68,3,0,0,0,0,0,0.0000
1778562795570,19,ADDRESS_LOCALITY,3,0,0,1,0.0000,66,3,0,0,0,0,0,0.0000
1778562795628,20,ADDRESS_LOCALITY,1,0,0,1,0.0000,84,4,0,0,0,0,0,0.0000
1778562795647,21,ADDRESS_LOCALITY,3,0,0,1,0.0000,77,5,0,0,0,0,0,0.0000
1778562796575,22,ADDRESS_LOCALITY,1,0,0,1,0.0000,64,2,0,0,0,0,0,0.0000
1778562797005,23,ADDRESS_LOCALITY,1,0,0,1,0.0000,74,2,0,0,0,0,0,0.0000
1778562798005,24,ADDRESS_LOCALITY,1,0,0,1,0.0000,83,3,0,0,0,0,0,0.0000
1778562799004,25,ADDRESS_LOCALITY,1,0,0,1,0.0000,73,3,0,0,0,0,0,0.0000
1778562800017,26,ADDRESS_LOCALITY,2,0,0,1,0.0000,74,15,1,0,12,0,12,0.8000
1778562801005,27,ADDRESS_LOCALITY,2,0,0,1,0.0000,51,2,0,0,0,0,0,0.0000
1778562802005,28,ADDRESS_LOCALITY,1,0,0,1,0.0000,55,2,0,0,0,0,0,0.0000
1778562803006,29,ADDRESS_LOCALITY,2,0,0,1,0.0000,58,4,0,0,0,0,0,0.0000
1778562804006,30,ADDRESS_LOCALITY,3,0,0,1,0.0000,57,2,0,0,0,0,0,0.0000
1778562805004,31,ADDRESS_LOCALITY,2,0,0,1,0.0000,51,2,0,0,0,0,0,0.0000
1778562806005,32,ADDRESS_LOCALITY,2,0,0,1,0.0000,50,2,0,0,0,0,0,0.0000
1778562807004,33,ADDRESS_LOCALITY,1,0,0,1,0.0000,47,1,0,0,0,0,0,0.0000
1778562808005,34,ADDRESS_LOCALITY,3,0,0,1,0.0000,48,3,0,0,0,0,0,0.0000
1778562809005,35,ADDRESS_LOCALITY,3,0,0,1,0.0000,52,3,0,0,0,0,0,0.0000
1778562810004,36,ADDRESS_LOCALITY,2,0,0,1,0.0000,53,2,0,0,0,0,0,0.0000
1778562811004,37,ADDRESS_LOCALITY,2,0,0,1,0.0000,53,2,0,0,0,0,0,0.0000
1778562812005,38,ADDRESS_LOCALITY,3,0,0,1,0.0000,66,2,0,0,0,0,0,0.0000
1778562813004,39,ADDRESS_LOCALITY,1,0,0,1,0.0000,47,2,0,0,0,0,0,0.0000
1778562814005,40,ADDRESS_LOCALITY,4,0,0,1,0.0000,44,3,0,0,0,0,0,0.0000
1778562815004,41,ADDRESS_LOCALITY,1,0,0,1,0.0000,46,2,0,0,0,0,0,0.0000
1778562816003,42,ADDRESS_LOCALITY,2,0,0,1,0.0000,45,2,0,0,0,0,0,0.0000
1778562817004,43,ADDRESS_LOCALITY,2,0,0,1,0.0000,42,1,0,0,0,0,0,0.0000
1778562818004,44,ADDRESS_LOCALITY,1,0,0,1,0.0000,45,1,0,0,0,0,0,0.0000
1778562819004,45,ADDRESS_LOCALITY,1,0,0,1,0.0000,42,1,0,0,0,0,0,0.0000
1778562820004,46,ADDRESS_LOCALITY,2,0,0,1,0.0000,52,1,0,0,0,0,0,0.0000
1778562821004,47,ADDRESS_LOCALITY,2,0,0,1,0.0000,42,1,0,0,0,0,0,0.0000
1778562822003,48,ADDRESS_LOCALITY,2,0,0,1,0.0000,43,2,0,0,0,0,0,0.0000
1778562823004,49,ADDRESS_LOCALITY,1,0,0,1,0.0000,45,1,0,0,0,0,0,0.0000
1778562824004,50,ADDRESS_LOCALITY,2,0,0,1,0.0000,47,1,0,0,0,0,0,0.0000
1778562825004,51,ADDRESS_LOCALITY,1,0,0,1,0.0000,51,1,0,0,0,0,0,0.0000
1778562826003,52,ADDRESS_LOCALITY,1,0,0,1,0.0000,41,1,0,0,0,0,0,0.0000
1778562827003,53,ADDRESS_LOCALITY,1,0,0,1,0.0000,39,1,0,0,0,0,0,0.0000
1778562828004,54,ADDRESS_LOCALITY,1,0,0,1,0.0000,48,1,0,0,0,0,0,0.0000
1778562829005,55,ADDRESS_LOCALITY,3,0,0,1,0.0000,40,2,0,0,0,0,0,0.0000
1778562830004,56,ADDRESS_LOCALITY,2,0,0,1,0.0000,42,1,0,0,0,0,0,0.0000
1778562831004,57,ADDRESS_LOCALITY,2,0,0,1,0.0000,42,1,0,0,0,0,0,0.0000
1778562832003,58,ADDRESS_LOCALITY,3,0,0,1,0.0000,39,1,0,0,0,0,0,0.0000
1778562833003,59,ADDRESS_LOCALITY,2,0,0,1,0.0000,46,1,0,0,0,0,0,0.0000
1778562834004,60,ADDRESS_LOCALITY,2,0,0,1,0.0000,39,1,0,0,0,0,0,0.0000
