timestamp_ms,block_number,last_variant,tx_count,warm_hits,cold_misses,warm_set_size,warm_hit_rate,scheduler_overhead_us,block_duration_ms,gc_young_delta_count,gc_old_delta_count,gc_young_delta_ms,gc_old_delta_ms,gc_total_delta_ms,gc_pause_ratio
1778563995029,1,HYBRID_FEE_LOCALITY,0,0,0,0,0.0000,0,0,0,0,0,0,0,0.0000
1778563996431,2,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,1565,26,0,0,0,0,0,0.0000
1778563996689,3,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,572,6,0,0,0,0,0,0.0000
1778563996743,4,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,424,6,0,0,0,0,0,0.0000
1778563996840,5,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,345,5,0,0,0,0,0,0.0000
1778563997085,6,HYBRID_FEE_LOCALITY,4,0,0,1,0.0000,1292,14,0,0,0,0,0,0.0000
1778563997736,7,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,523,6,0,0,0,0,0,0.0000
1778563997835,8,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,380,5,0,0,0,0,0,0.0000
1778563998217,9,HYBRID_FEE_LOCALITY,3,0,0,1,0.0000,422,6,0,0,0,0,0,0.0000
1778563998470,10,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,569,6,0,0,0,0,0,0.0000
1778563998607,11,HYBRID_FEE_LOCALITY,3,0,0,1,0.0000,827,8,0,0,0,0,0,0.0000
1778563999207,12,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,623,7,0,0,0,0,0,0.0000
1778563999501,13,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,624,6,0,0,0,0,0,0.0000
1778563999853,14,HYBRID_FEE_LOCALITY,3,0,0,1,0.0000,552,6,0,0,0,0,0,0.0000
1778563999955,15,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,593,7,0,0,0,0,0,0.0000
1778564000176,16,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,427,5,0,0,0,0,0,0.0000
1778564000293,17,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,413,5,0,0,0,0,0,0.0000
1778564000755,18,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,432,5,0,0,0,0,0,0.0000
1778564000992,19,HYBRID_FEE_LOCALITY,3,0,0,1,0.0000,387,5,0,0,0,0,0,0.0000
1778564001024,20,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,413,4,0,0,0,0,0,0.0000
1778564001219,21,HYBRID_FEE_LOCALITY,3,0,0,1,0.0000,458,8,0,0,0,0,0,0.0000
1778564001496,22,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,441,4,0,0,0,0,0,0.0000
1778564002494,23,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,492,4,0,0,0,0,0,0.0000
1778564003007,24,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,483,4,0,0,0,0,0,0.0000
1778564004007,25,HYBRID_FEE_LOCALITY,1,0,0,1,0.0000,510,4,0,0,0,0,0,0.0000
1778564005005,26,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,283,3,0,0,0,0,0,0.0000
1778564006005,27,HYBRID_FEE_LOCALITY,2,0,0,1,0.0000,258,3,0,0,0,0,0,0.0000
